param_svm__kernel,param_svm__C,param_svm__gamma,mean_test_score,std_test_score,mean_train_score
rbf,1.0,1.0,0.9906661799062639,0.008713482054848082,1.0
rbf,10.0,0.01,0.9883346152117645,0.012753363722104066,0.9953263181749209
rbf,100.0,0.001,0.9883346152117645,0.012753363722104066,0.9953263181749209
rbf,1.0,0.1,0.9883346152117645,0.012753363722104066,0.9953263181749209
rbf,100.0,1.0,0.9883119353417993,0.007358427070690242,1.0
linear,1.0,,0.9883119353417993,0.007358427070690242,0.9988303593553296
linear,10.0,,0.9883119353417993,0.007358427070690242,1.0
linear,100.0,,0.9883119353417993,0.007358427070690242,1.0
rbf,100.0,0.1,0.9883119353417993,0.007358427070690242,1.0
rbf,100.0,0.01,0.9883119353417993,0.007358427070690242,1.0
rbf,10.0,1.0,0.9883119353417993,0.007358427070690242,1.0
rbf,10.0,0.1,0.9883119353417993,0.007358427070690242,1.0
linear,0.1,,0.931884196236053,0.034275800826539284,0.9772028522283099
linear,0.01,,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,10.0,0.001,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,1.0,0.001,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,0.1,1.0,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,0.1,0.1,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,0.1,0.01,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,0.1,0.001,0.33540064102564104,0.0019231770807251432,0.3354035292095284
rbf,1.0,0.01,0.33540064102564104,0.0019231770807251432,0.3354035292095284
